site_no,site_export_id,location_type,huc2,huc2_region_name,station_nm,dec_lat_va,dec_long_va,median_00060_Mean,n_flow_obs,median_no3no2,n_combined_days,mutual_information,n_paired_days
4080798,57,Midwest,04,Great Lakes Region,"TOMORROW RIVER NEAR NELSONVILLE, WI",44.5244444,-89.3377778,29.1,4275,2.92,1015,1.0062582342731416,1015.0
4081000,58,Midwest,04,Great Lakes Region,"WAUPACA RIVER NEAR WAUPACA, WI",44.32916667,-88.9958333,252.0,4249,2.75,914,0.3990174007016538,914.0
4084911,59,Midwest,04,Great Lakes Region,"PLUM CREEK NEAR WRIGHTSTOWN, WI",44.3055449,-88.1712146,2.52,11098,2.72929111948838,1096,0.3979418843914444,1096.0
4085108,60,Midwest,04,Great Lakes Region,"EAST RIVER @ CNTY TRUNK HIGHWAY ZZ NR GREENLEAF,WI",44.37194444,-88.0922222,7.945,10184,1.2977883277925093,4515,0.4966969358285356,4515.0
4086120,61,Midwest,04,Great Lakes Region,"WEST BRANCH MILWAUKEE RIVER @ CTH K NEAR LOMIRA,WI",43.62444444,-88.4008333,6.175,3136,8.082844479353856,1568,0.9861448930664913,1568.0
4144032,62,Midwest,04,Great Lakes Region,"THREEMILE CREEK AT PRIOR ROAD NEAR DURAND, MI",42.88169789,-83.9846833,3.21,7040,1.7585820391335456,578,0.6575803437497818,578.0
41482663,63,Midwest,04,Great Lakes Region,"ALGER CREEK AT HILL ROAD NEAR SWARTZ CREEK, MI",42.9419733,-83.8460698,3.74,9208,0.8001302150840144,578,0.5887266437527643,578.0
4175748,64,Midwest,04,Great Lakes Region,S BRANCH RIVER RAISIN AT BENNER HWAY NR CADMUS MI,41.8579611,-84.1596944,2.335,3888,1.6905700568557036,1794,0.9028145799321794,1794.0
4176063,65,Midwest,04,Great Lakes Region,"NILE DITCH AT ARNOLD HWY NR JASPER, MI",41.7776111,-84.03688889,2.86,3862,3.3350970586770665,1824,0.965430900935373,1824.0
4176356,66,Midwest,04,Great Lakes Region,"SALINE RIVER AT AUSTIN ROAD NEAR BRIDGEWATER, MI",42.1611214,-83.84433309,10.0,1298,1.415493744167161,518,1.0938353979380313,518.0
4176617,67,Midwest,04,Great Lakes Region,"MUDDY CREEK AT BELLETERRE RD NR ERIE, MI",41.82532407,-83.4657669,0.66,3758,4.990819495172351,1795,0.6383607729567848,1795.0
4177080,68,Midwest,04,Great Lakes Region,"E BR ST JOSEPH R AT TERRITORIAL RD NR WALDRON, MI",41.70945895,-84.4907444,36.4,5626,1.1616117708004094,2192,0.7268019257976119,2192.0
4177266,69,Midwest,04,Great Lakes Region,"WEST BRANCH ST. JOSEPH RIVER NR NETTLE LAKE, OH",41.68334819,-84.6699172,53.2,5718,1.0527714420292906,2192,0.7166306157655056,2192.0
4178000,70,Midwest,04,Great Lakes Region,St Joseph River near Newville IN,41.38560609,-84.8016259,255.0,13192,1.2033024191305626,2771,0.5439855678285865,2771.0
4181049,71,Midwest,04,Great Lakes Region,St Marys River at Walcot Street at Willshire OH,40.74888889,-84.7891667,103.0,6518,3.4534933297751067,2771,0.6261742239574999,2771.0
4181100,72,Midwest,04,Great Lakes Region,"BLUE CREEK NR PLEASANT MILLS, IN",40.74696821,-84.82214559,5.03,1822,3.940797558369991,366,0.5413488349939035,366.0
4182000,73,Midwest,04,Great Lakes Region,"ST. MARYS RIVER NEAR FORT WAYNE, IN",40.9877993,-85.1118772,198.0,13264,3.4157862526945877,2477,0.527766815218977,2477.0
4183000,74,Midwest,04,Great Lakes Region,"MAUMEE RIVER AT NEW HAVEN, IN",41.0850205,-85.0221518,814.0,13262,2.8535312724890085,1560,0.10033864477045062,1560.0
4183038,75,Midwest,04,Great Lakes Region,"BLACK CREEK NEAR HARLAN, IN",41.1830833,-84.8696944,2.415,7604,4.163869453971786,3288,0.9529064016537019,3288.0
4183105,76,Midwest,04,Great Lakes Region,"MAUMEE RIVER AT SR 101 NEAR WOODBURN, IN",41.16977778,-84.8491667,1975.0,1084,2.8354740104899183,516,0.2530569149108217,516.0
4183500,77,Midwest,04,Great Lakes Region,Maumee River at Antwerp OH,41.19893889,-84.7444033,948.0,8754,2.9344784518838507,3867,0.17186768793360852,3867.0
4183979,78,Midwest,04,Great Lakes Region,Platter Creek near Sherwood OH,41.26694444,-84.5919444,1.73,6540,6.014840157074159,2770,0.6462210522554033,2770.0
41843678,79,Midwest,04,Great Lakes Region,"LIME CREEK AT RANGER HIGHWAY NEAR MORENCI, MI",41.75497778,-84.25168889,6.115,3760,1.6503931581146665,1795,0.7661526468939552,1795.0
4184500,80,Midwest,04,Great Lakes Region,Bean Creek at Powers OH,41.6594951,-84.2491148,86.2,13264,1.5237110655446542,2192,0.6284018541415937,2192.0
4185318,81,Midwest,04,Great Lakes Region,Tiffin River near Evansport OH,41.3825,-84.4161111,199.0,9064,2.6914679970641213,4232,0.670761667934995,4232.0
4185935,82,Midwest,04,Great Lakes Region,Auglaize River near Kossuth OH,40.6858333,-84.2655556,54.2,6366,3.5888392529009687,3136,0.2747336128834954,3136.0
4186500,83,Midwest,04,Great Lakes Region,Auglaize River near Fort Jennings OH,40.9486617,-84.266059,73.4,13264,3.3255905319491097,4232,0.4271347214270138,4232.0
4188100,84,Midwest,04,Great Lakes Region,Ottawa River near Kalida OH,40.9903287,-84.2266132,104.0,8696,3.911346858732976,3863,0.21905386415171524,3863.0
4188496,85,Midwest,04,Great Lakes Region,Eagle Creek above Findlay OH,40.9792203,-83.6532653,7.14,13264,2.3749047610218974,4013,0.5356713066904053,4013.0
4190000,86,Midwest,04,Great Lakes Region,Blanchard River near Dupont OH,41.0414393,-84.2268905,166.0,8638,3.7544768524658956,3867,0.37854205112794137,3867.0
4191058,87,Midwest,04,Great Lakes Region,Little Auglaize River at Melrose OH,41.09194444,-84.4075,57.3,7738,4.0976593194705995,3457,0.20458949205610244,3456.0
4191444,88,Midwest,04,Great Lakes Region,Little Flatrock Creek near Junction OH,41.18555556,-84.4955556,1.04,8100,4.6167247900328165,2771,0.3540670835925219,2771.0
4192500,89,Midwest,04,Great Lakes Region,Maumee River near Defiance OH,41.2919928,-84.2810573,1870.0,13264,3.116275679325685,3867,0.29040267192090763,3867.0
5341500,90,Midwest,07,Upper Mississippi Region,"APPLE RIVER NEAR SOMERSET, WI",45.1575,-92.7163889,251.0,6392,0.7638638580026866,729,0.5608305152542892,729.0
53416972,91,Midwest,07,Upper Mississippi Region,"WILLOW RIVER @ COUNTY TRUNK HIGHWAY T AT JEWETT,WI",45.12002778,-92.4363056,41.0,2936,3.5322121271779503,1460,1.0060299216180986,1460.0
5341752,92,Midwest,07,Upper Mississippi Region,"WILLOW RIVER @ WILLOW R STATE PARK NR BURKHARDT,WI",45.01166667,-92.7083333,160.0,8098,3.3995136300993134,730,1.037214042614437,730.0
5342000,93,Midwest,07,Upper Mississippi Region,"KINNICKINNIC RIVER NEAR RIVER FALLS, WI",44.8308333,-92.7330556,113.0,13226,5.853316382340244,729,0.9745523480141873,729.0
5412500,94,Midwest,07,Upper Mississippi Region,"Turkey River at Garber, IA",42.7399884,-91.261799,957.0,13160,6.305712166957996,3053,0.6386165323076343,3053.0
5418110,95,Midwest,07,Upper Mississippi Region,"NF Maquoketa River below Bear Cr at Dyersville, IA",42.4703333,-91.1245556,53.1,3118,7.55374036995839,589,0.9383078132309408,589.0
5418400,96,Midwest,07,Upper Mississippi Region,"North Fork Maquoketa River near Fulton, IA",42.1643333,-90.7293333,365.0,13072,5.796865917182342,611,0.6461057442123588,611.0
5418720,97,Midwest,07,Upper Mississippi Region,"Maquoketa River near Green Island, IA",42.1638611,-90.3350833,1530.0,3278,7.144096886384293,1198,0.5523706492251339,1179.0
5420500,98,Midwest,07,Upper Mississippi Region,"Mississippi River at Clinton, IA",41.78058635,-90.252073,51700.0,6632,2.57,1785,0.3714234876992384,1785.0
5427718,99,Midwest,07,Upper Mississippi Region,"YAHARA RIVER AT WINDSOR, WI",43.20888889,-89.3525,26.8,13092,7.619337930439743,5479,0.5327062050789202,5479.0
5427880,100,Midwest,07,Upper Mississippi Region,"SIXMILE CREEK AT STATE HIGHWAY 19 NEAR WAUNAKEE,WI",43.1922222,-89.4728889,11.2,9854,4.3920382388033765,4848,0.4490113091532981,4848.0
5427905,101,Midwest,07,Upper Mississippi Region,"SIXMILE CREEK AT WOODLAND DRIVE NEAR WAUNAKEE, WI",43.1600722,-89.4321,20.5,1744,4.779398842123099,731,0.7079906514734908,731.0
5427910,102,Midwest,07,Upper Mississippi Region,"SIXMILE CREEK @ COUNTY TRNK HGHWY M NR WAUNAKEE,WI",43.1468333,-89.4368333,27.95,9140,4.465281627480035,4484,0.407850195428896,4484.0
